Created_at,LT (m2),LB (m2),KT,KM,Garasi,Carport,Lokasi,Sertifikat,Listrik,Hadap,Harga,URL,Deskripsi
01-12-2021,200,180,3,2,,2,Kota Semarang,SHM,2200,,2300000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-linda-19168380,"- Terawat, bersih & sudah di renovasi
- Dekat dengan Bandara Ahmad Yani Semarang
- 5 menit kesimpang 5"
07-12-2021,120,80,3,2,,1,Kota Semarang,SHM,2200,,840000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-18888179,"Lokasi Dekat :
- SMK Grafika
- 2 Menit ke SMA 9
- 3 Menit ke RS Hermina
- 5 Menit ke KODAM
- 5 Menit ke Tol"
06-12-2021,205,315,4,3,2,,Kota Semarang,SHM,2200,,2500000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-19391322,"Lokasi di kawasan premium, dekat dari Cipto dekat Barito, dekat RS Pantiwiloso, dekat Masjid agung"
05-12-2021,120,40,2,1,,1,Kota Semarang,SHM,1300,,450000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-abdul-rozak-17858875,"Kwalitas bagus
Jalan row 8m
One gate
1 menit Pasar Mijen
3 menit Sirkuit kelas Nasional
4 menit KFC dan UNIKA"
05-12-2021,60,36,2,1,,1,Kota Semarang,SHGB,1300,,305000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-19387402,"- 10 Menit dari Java mall
- Dekat ke RS Ketileng
- Dekat ke UNIMUS
- Dekat ke Stikes Sambiroto"
04-12-2021,90,69,3,2,,1,Kota Semarang,SHM,1300,,1200000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-18613784,"- keamanan 24 jam
- club house / kolam renang dlm Cluster
- joging trek
- komersil Area"
02-12-2021,63,36,3,2,,1,Kota Semarang,SHM,1300,,495000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-19376761,"- Lokasi di pusat sampangan dekat smp N 13
- Dekat
- Lingkungan sudah terbentuk nyaman"
30-11-2021,77,60,3,2,,1,Kota Semarang,SHM,2200,,1196000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-19360358,"- Satu - satunya perumahan Cluster di Menoreh Sampangan
- Sudah Banyak yang di Tempati
- One Gate Sistem
-> 50 meter dari jalan Raya Menoreh Sampangan
-> Dekat Sekolahan dan Kampus
-> 2 Menit ke Pom Bensin dan Pasar Tradisional
-> 10 Menit ke RSUD kariadi, Simpang Lima dan pusat Belanja
-> 15 Menit ke Bandara"
30-11-2021,106,242,5,4,,2,Kota Semarang,SHM,2200,Selatan dan Barat,2000000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-19359944,"KEUNGGULAN LOKASI :
- Akses Jalan Lebar Bisa Simpangan Mobil
- Bebas Banjir
- Lingkungan Nyaman
- Hanya 300 meter Kampus UNWAHAS
- Hanya 3 menit Pasar Sampangan
- Hanya 7 menit Kampus UNIKA
- Hanya 7 menit Kampus STIKUBANK
- Hanya 10 menit RSU Kariadi"
30-11-2021,1068,500,5,3,,2,Kota Semarang,SHM,3500,,16900000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-sigit-sadono-18547042,"- Di kawasan prestisius dan elite
- Ada Hall kapasitas 50 orang
- Kolam Renang
- Balkon/Teras belakang
- Air PDAM/ artesis
- Line telephone"
24-11-2021,100,160,4,1,,1,Kota Semarang,SHM,1300,,700000000,https://www.rumah.com/listing-properti/dijual-semarang-oleh-muhamad-afandi-19321646,"- 200 m dari jalan raya
- Dekat pasar sampangan
- Bisa di manfaatkan Bangun ulang jadi koskosan eksklusif lokasi sekitar banyak kampus
- Cocok di jadikan townhouse dg View Tol"
